Match Num,Winner,Loser
1,New Zealand,England
2,Pakistan,Netherlands
3,Bangladesh,Afghanistan
4,South Africa,Sri Lanka
5,India,Australia
6,New Zealand,Netherlands
7,England,Bangladesh
8,Pakistan,Sri Lanka
9,India,Afghanistan
10,South Africa,Australia
11,New Zealand,Bangladesh
12,India,Pakistan
13,Afghanistan,England
14,Australia,Sri Lanka
15,Netherlands,South Africa
16,New Zealand,Afghanistan
17,India,Bangladesh
18,Australia,Pakistan
19,Sri Lanka,Netherlands
20,South Africa,England
21,India,New Zealand
22,Afghanistan,Pakistan
23,South Africa,Bangladesh
24,Australia,Netherlands
25,England,Sri Lanka
